#tag,dataset,iter1,iter2,iter3,iter4,iterLast,finalTiming,sumTiming
jackhmmer,up_Q1YQ41_Q1YQ41_9GAMM,,,,,3230.99,47.37,3278.36
jackhmmer,up_Q1YR66_Q1YR66_9GAMM,,,,,1417.18,13.81,1430.99
jackhmmer,up_Q1Z4J2_Q1Z4J2_PHOPR,,,,,1639.96,14.09,1654.05
jackhmmer,up_Q1ZJZ0_Q1ZJZ0_PHOAS,,,,,5082.48,25.33,5107.81
jackhmmer,up_Q1ZMJ0_Q1ZMJ0_PHOAS,,,,,10881.71,135.26,11016.97
jackhmmer,up_Q1ZZK0_Q1ZZK0_9BACT,,,,,5205.79,37.11,5242.90
jackhmmer,up_Q20WY3_Q20WY3_RHOPB,,,,,2549.80,20.26,2570.06
jackhmmer,up_Q21HH3_EFTS_SACD2,,,,,592.62,3.51,596.13
jackhmmer,up_Q2GK25_OBG_ANAPZ,,,,,4665.94,33.75,4699.69
jackhmmer,up_Q2H719_Q2H719_CHAGB,,,,,1083.82,11.42,1095.24
jackhmmer,up_Q2JEI1_Q2JEI1_FRASC,,,,,14334.29,116.54,14450.83
jackhmmer,up_Q2JS57_Q2JS57_SYNJA,,,,,994.76,7.34,1002.10
jackhmmer,up_Q2K578_Q2K578_RHIEC,,,,,1329.63,10.55,1340.18
jackhmmer,up_Q2L227_Q2L227_BORA1,,,,,1151.25,9.54,1160.79
jackhmmer,up_Q2L9C1_Q2L9C1_HUMAN,,,,,1009.03,5.31,1014.34
jackhmmer,up_Q2LXV6_Q2LXV6_SYNAS,,,,,769.45,7.87,777.32
jackhmmer,up_Q2NFN7_Q2NFN7_METST,,,,,1454.43,9.23,1463.66
jackhmmer,up_Q2SIL6_Q2SIL6_HAHCH,,,,,12081.49,230.71,12312.20
jackhmmer,up_Q2SLI8_Q2SLI8_HAHCH,,,,,,130.06,
jackhmmer,up_Q2SUV4_Q2SUV4_BURTA,,,,,1003.31,8.79,1012.10
jackhmmer,up_Q2SW15_Q2SW15_BURTA,,,,,11565.91,232.45,11798.36
jackhmmer,up_Q2W2T1_Q2W2T1_MAGSA,,,,,3519.40,36.44,3555.84
jackhmmer,up_Q30ZL8_Q30ZL8_DESDG,,,,,8186.97,90.85,8277.82
jackhmmer,up_Q316S6_Q316S6_DESDG,,,,,3345.93,25.99,3371.92
jackhmmer,up_Q31LY4_Q31LY4_SYNE7,,,,,13983.05,24.02,14007.07
jackhmmer,up_Q331Q2_Q331Q2_9ACTO,,,,,12496.56,310.93,12807.49
jackhmmer,up_Q39TR9_Q39TR9_GEOMG,,,,,1441.96,12.45,1454.41
jackhmmer,up_Q3B0D6_Q3B0D6_SYNS9,,,,,21912.27,28.78,21941.05
jackhmmer,up_Q3B2B0_Q3B2B0_PELLD,,,,,10020.06,59.45,10079.51
jackhmmer,up_Q3B624_Q3B624_PELLD,,,,,4913.82,32.96,4946.78
jackhmmer,up_Q3BQ87_Q3BQ87_XANC5,,,,,1431.44,15.22,1446.66
jackhmmer,up_Q3IKB8_DNLJ_PSEHT,,,,,2008.45,19.72,2028.17
jackhmmer,up_Q3IKL4_Q3IKL4_PSEHT,,,,,12047.94,118.57,12166.51
jackhmmer,up_Q3ISQ5_Q3ISQ5_NATPD,,,,,2514.27,27.20,2541.47
jackhmmer,up_Q3JG50_Q3JG50_BURP1,,,,,2806.08,12.47,2818.55
jackhmmer,up_Q3LWD4_Q3LWD4_BIGNA,,,,,3720.65,67.47,3788.12
jackhmmer,up_Q3M5I1_Q3M5I1_ANAVT,,,,,1728.52,12.60,1741.12
